Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
"Vanilla Shake, Medium",570,15.0,9.0,0.5,60,260,97,0,62,12,McDonald's,Other
"Vanilla Shake, Small",480,13.0,8.0,0.5,50,210,80,0,51,10,McDonald's,Other
1% Low Fat Milk Jug,100,2.0,1.5,0.0,10,80,12,0,11,8,McDonald's,Other
"Coca-Cola, Extra Small",110,0.0,0.0,0.0,0,30,28,0,28,0,McDonald's,Other
"Coca-Cola, Large",380,0.0,0.0,0.0,0,95,100,0,100,0,McDonald's,Other
"Coca-Cola, Medium",210,0.0,0.0,0.0,0,55,56,0,56,0,McDonald's,Other
"Coca-Cola, Small",150,0.0,0.0,0.0,0,40,39,0,39,0,McDonald's,Other
Dasani Water,0,0.0,0.0,0.0,0,0,0,0,0,0,McDonald's,Other
"Diet Coke, Extra Small",0,0.0,0.0,0.0,0,10,0,0,0,0,McDonald's,Other
"Diet Coke, Large",0,0.0,0.0,0.0,0,20,1,0,0,0,McDonald's,Other
"Diet Coke, Medium",0,0.0,0.0,0.0,0,15,0,0,0,0,McDonald's,Other
"Diet Coke, Small",0,0.0,0.0,0.0,0,10,0,0,0,0,McDonald's,Other
"Dr Pepper, Extra Small",100,0.0,0.0,0.0,0,35,27,0,27,0,McDonald's,Other
"Dr Pepper, Large",280,0.0,0.0,0.0,0,90,75,1,73,0,McDonald's,Other
"Dr Pepper, Medium",200,0.0,0.0,0.0,0,65,54,1,53,0,McDonald's,Other
"Dr Pepper, Small",140,0.0,0.0,0.0,0,50,38,0,37,0,McDonald's,Other
"Fanta Orange, Large",300,0.0,0.0,0.0,0,80,78,0,76,0,McDonald's,Other
"Fanta Orange, Medium",210,0.0,0.0,0.0,0,60,56,0,55,0,McDonald's,Other
"Fanta Orange, Small",150,0.0,0.0,0.0,0,40,39,0,38,0,McDonald's,Other
"Frozen Coca-Cola Classic, Large",110,0.0,0.0,0.0,0,45,29,0,29,0,McDonald's,Other
"Frozen Coca-Cola Classic, Medium",80,0.0,0.0,0.0,0,30,21,0,21,0,McDonald's,Other
"Frozen Coca-Cola Classic, Small",60,0.0,0.0,0.0,0,25,16,0,16,0,McDonald's,Other
"Frozen Fanta Blue Raspberry, Large",110,0.0,0.0,0.0,0,50,29,0,29,0,McDonald's,Other
"Frozen Fanta Blue Raspberry, Medium",80,0.0,0.0,0.0,0,35,20,0,20,0,McDonald's,Other
"Frozen Fanta Blue Raspberry, Small",60,0.0,0.0,0.0,0,30,16,0,16,0,McDonald's,Other
"Hi-C Orange Lavaburst, Extra Small",110,0.0,0.0,0.0,0,30,29,0,29,0,McDonald's,Other
"Hi-C Orange Lavaburst, Large",310,0.0,0.0,0.0,0,80,80,0,80,0,McDonald's,Other
"Hi-C Orange Lavaburst, Medium",230,0.0,0.0,0.0,0,60,58,0,58,0,McDonald's,Other
"Hi-C Orange Lavaburst, Small",160,0.0,0.0,0.0,0,40,40,0,40,0,McDonald's,Other
Honest Kids Appley Ever After Organic Juice Drink,35,0.0,0.0,0.0,0,15,8,0,8,0,McDonald's,Drink
"Hot Chocolate, Large",560,20.0,12.0,0.5,60,260,76,2,71,17,McDonald's,Other
"Hot Chocolate, Medium",450,15.0,9.0,0.5,55,220,66,1,58,14,McDonald's,Other
"Hot Chocolate, Small",370,13.0,8.0,0.0,45,180,54,1,47,11,McDonald's,Other
"Hot Tea, Large",15,0.0,0.0,0.0,0,10,0,0,0,3,McDonald's,Other
"Hot Tea, Medium",10,0.0,0.0,0.0,0,5,0,0,0,2,McDonald's,Other
"Hot Tea, Small",10,0.0,0.0,0.0,0,5,0,0,0,2,McDonald's,Other
"Lemonade, Large",320,0.0,0.0,0.0,0,20,81,0,75,0,McDonald's,Other
"Lemonade, Medium",230,0.0,0.0,0.0,0,20,58,0,54,0,McDonald's,Other
"Lemonade, Small",150,0.0,0.0,0.0,0,10,37,0,34,0,McDonald's,Other
"Mango Pineapple Smoothie, Large",340,1.0,0.5,0.0,<5,60,78,2,72,4,McDonald's,Other
"Mango Pineapple Smoothie, Medium",250,1.0,0.0,0.0,<5,45,57,1,52,3,McDonald's,Other
"Mango Pineapple Smoothie, Small",200,0.5,0.0,0.0,<5,35,45,1,42,2,McDonald's,Other
"Minute Maid Premium Orange Juice, Large",270,0.0,0.0,0.0,0,65,65,1,58,4,McDonald's,Other
"Minute Maid Premium Orange Juice, Medium",190,0.0,0.0,0.0,0,45,45,1,41,3,McDonald's,Other
"Minute Maid Premium Orange Juice, Small",150,0.0,0.0,0.0,0,35,36,1,32,2,McDonald's,Other
Reduced Sugar Low Fat Chocolate Milk Jug,130,2.5,1.5,0.0,10,85,18,0,14,9,McDonald's,Other
"Sprite, Extra Small",90,0.0,0.0,0.0,0,50,27,0,27,0,McDonald's,Other
"Sprite, Large",230,0.0,0.0,0.0,0,130,69,0,69,0,McDonald's,Other
"Sprite, Medium",200,0.0,0.0,0.0,0,100,51,0,51,0,McDonald's,Other
"Sprite, Small",140,0.0,0.0,0.0,0,70,35,0,35,0,McDonald's,Other
"Strawberry Banana Smoothie, Large",330,1.0,0.5,0.0,<5,70,76,4,68,4,McDonald's,Other
"Strawberry Banana Smoothie, Medium",240,1.0,0.0,0.0,<5,50,55,3,49,3,McDonald's,Other
"Strawberry Banana Smoothie, Small",190,0.5,0.0,0.0,<5,40,44,2,39,2,McDonald's,Other
"Sweet Tea, Extra Small",70,0.0,0.0,0.0,0,10,18,0,17,0,McDonald's,Other
"Sweet Tea, Large",170,0.0,0.0,0.0,0,25,43,0,40,1,McDonald's,Other
"Sweet Tea, Medium",130,0.0,0.0,0.0,0,20,31,0,29,1,McDonald's,Other
"Sweet Tea, Small",100,0.0,0.0,0.0,0,15,26,0,24,0,McDonald's,Other
"Unsweetened Iced Tea, Extra Small",0,0.0,0.0,0.0,0,10,0,0,0,1,McDonald's,Other
"Unsweetened Iced Tea, Large",0,0.0,0.0,0.0,0,20,0,0,0,1,McDonald's,Other
"Unsweetened Iced Tea, Medium",0,0.0,0.0,0.0,0,15,0,0,0,1,McDonald's,Other
"Unsweetened Iced Tea, Small",0,0.0,0.0,0.0,0,10,0,0,0,1,McDonald's,Other
