Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
"Side, Berry Parfait with Cookie Crumbs",240,8.0,3.5,0.0,20,85,31,1,25,12,Chick-fil-A,Side
"Side, Berry Parfait with Granola",270,9.0,3.5,0.0,20,85,35,1,26,13,Chick-fil-A,Side
"Side Fruit Cup, Large",120,0.0,0.0,0.0,0,0,28,4,21,1,Chick-fil-A,Side
"Side Fruit Cup, Medium",70,0.0,0.0,0.0,0,0,16,2,12,1,Chick-fil-A,Side
"Side Fruit Cup, Small",60,0.0,0.0,0.0,0,0,14,2,11,1,Chick-fil-A,Side
Side Salad,470,42.0,8.0,0.0,35,700,14,4,5,6,Chick-fil-A,Salad
Waffle Potato Chips,220,13.0,3.5,0.0,0,250,25,2,0,3,Chick-fil-A,Other
"Kids Chick-fil-A Chick-n-Strips, 2 ct",200,9.0,2.0,0.0,50,580,11,0,1,19,Chick-fil-A,Other
"Kids Chick-fil-A Nuggets, 5 ct",160,7.0,1.5,0.0,50,760,7,0,1,17,Chick-fil-A,Other
"Kids Grilled Nuggets, 5 ct",80,2.0,0.0,0.0,55,270,1,0,0,16,Chick-fil-A,Other
6 Pack Chocolate Chunk Cookie (per Cookie),370,17.0,9.0,0.0,15,230,49,3,26,5,Chick-fil-A,Other
Chick-fil-A Icedream Cone,180,4.0,2.5,0.0,15,90,32,0,25,4,Chick-fil-A,Other
Chick-fil-A Icedream Cup,140,3.5,2.5,0.0,15,75,24,0,24,4,Chick-fil-A,Other
Chocolate Chunk Cookie,370,17.0,9.0,0.0,15,230,49,3,26,5,Chick-fil-A,Other
Chocolate Fudge Brownie,370,21.0,8.0,0.0,65,140,47,2,35,4,Chick-fil-A,Other
Chocolate Milkshake,590,22.0,14.0,1.0,85,360,90,1,87,12,Chick-fil-A,Other
Cookies & Cream Milkshake,630,26.0,15.0,1.0,90,440,90,1,84,13,Chick-fil-A,Other
Frosted Coffee,230,6.0,3.5,0.0,25,125,39,0,39,6,Chick-fil-A,Other
Frosted Lemonade,320,6.0,3.5,0.0,25,120,65,0,63,6,Chick-fil-A,Other
Frosted Lemonade with Diet Lemonade,250,6.0,3.5,0.0,25,125,46,0,43,6,Chick-fil-A,Other
Peppermint Chip Frosted Coffee,430,9.0,6.0,0.0,25,170,83,1,68,7,Chick-fil-A,Other
Peppermint Chip Milkshake,670,23.0,15.0,1.0,80,360,109,1,94,11,Chick-fil-A,Other
Strawberry Milkshake,590,20.0,13.0,0.5,80,410,93,1,88,11,Chick-fil-A,Other
Vanilla Milkshake,580,23.0,15.0,1.0,90,390,82,1,80,13,Chick-fil-A,Other
1% Chocolate Milk,140,2.0,1.5,0.0,10,160,23,0,21,7,Chick-fil-A,Other
1% Milk,90,2.0,1.5,0.0,10,105,10,0,10,7,Chick-fil-A,Other
"Chick-fil-A Diet Lemonade, Gallon",460,1.5,0.0,0.0,0,95,126,2,91,3,Chick-fil-A,Other
"Chick-fil-A Diet Lemonade, Large",80,0.0,0.0,0.0,0,15,23,0,16,0,Chick-fil-A,Other
