Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
Hash Brown Scramble Burrito with No Meat,580.0,34.0,11.0,0.5,330.0,1200.0,47.0,5.0,1.0,22,Chick-Fil-A,3.793103448275862,['Breakfast'],N/A
"Hash Brown Scramble Burrito with No Meat, No Hash Browns",440.0,24.0,10.0,0.5,330.0,950.0,35.0,3.0,1.0,21,Chick-Fil-A,4.772727272727273,['Breakfast'],N/A
Hash Brown Scramble Burrito with Nuggets,700.0,40.0,12.0,0.5,415.0,1770.0,51.0,3.0,2.0,34,Chick-Fil-A,4.857142857142857,"['Chicken', 'Breakfast']",N/A
"Hash Brown Scramble Burrito with Nuggets, No Hash Browns",550.0,30.0,11.0,0.5,415.0,1530.0,38.0,2.0,2.0,33,Chick-Fil-A,6.0,"['Chicken', 'Breakfast']",N/A
Hash Brown Scramble Burrito with Sausage,720.0,47.0,16.0,0.5,395.0,1450.0,46.0,3.0,1.0,28,Chick-Fil-A,3.888888888888889,['Breakfast'],N/A
"Hash Brown Scramble Burrito with Sausage, No Hash Browns",570.0,37.0,14.0,0.5,395.0,1200.0,34.0,2.0,1.0,26,Chick-Fil-A,4.56140350877193,['Breakfast'],N/A
Hash Brown Scramble Burrito with Spicy Chicken,660.0,37.0,11.0,0.5,250.0,1750.0,54.0,3.0,2.0,28,Chick-Fil-A,4.242424242424243,"['Chicken', 'Breakfast']",N/A
"Hash Brown Scramble Burrito with Spicy Chicken, No Hash Browns",510.0,27.0,10.0,0.5,250.0,1510.0,41.0,2.0,2.0,27,Chick-Fil-A,5.294117647058823,"['Chicken', 'Breakfast']",N/A
"Mini Yeast Rolls, 4 ct",240.0,8.0,2.5,0.0,20.0,450.0,36.0,2.0,7.0,6,Chick-Fil-A,2.5,['Other'],N/A
"Sausage, Egg & Cheese Biscuit",620.0,42.0,18.0,0.0,205.0,1510.0,38.0,2.0,4.0,22,Chick-Fil-A,3.5483870967741935,['Breakfast'],N/A
"Sausage, Egg & Cheese Muffin",490.0,32.0,13.0,0.0,205.0,1000.0,29.0,1.0,1.0,23,Chick-Fil-A,4.6938775510204085,['Breakfast'],N/A
Spicy Chicken Biscuit,450.0,22.0,8.0,0.0,40.0,1570.0,44.0,2.0,5.0,19,Chick-Fil-A,4.222222222222222,['Chicken'],N/A
"Chick-fil-A Chick-n-Strips, 2 ct",200.0,9.0,2.0,0.0,50.0,580.0,11.0,0.0,1.0,19,Chick-Fil-A,9.5,"['Chicken', 'Combo']",N/A
"Chick-fil-A Chick-n-Strips, 3 ct",310.0,14.0,2.5,0.0,75.0,870.0,16.0,0.0,2.0,29,Chick-Fil-A,9.35483870967742,['Chicken'],N/A
"Chick-fil-A Chick-n-Strips, 4 ct",410.0,19.0,3.5,0.0,100.0,1150.0,22.0,0.0,2.0,39,Chick-Fil-A,9.512195121951219,['Chicken'],N/A
Chick-fil-A Cool Wrap,660.0,45.0,9.0,0.0,110.0,1420.0,32.0,14.0,5.0,43,Chick-Fil-A,6.515151515151516,"['Chicken', 'Wrap']",N/A
Chick-fil-A Chicken Sandwich,420.0,18.0,3.5,0.0,70.0,1460.0,41.0,1.0,6.0,29,Chick-Fil-A,6.904761904761905,['Chicken'],N/A
Chick-fil-A Deluxe Sandwich with American,490.0,22.0,6.0,0.0,85.0,1700.0,43.0,1.0,7.0,32,Chick-Fil-A,6.530612244897959,['Chicken'],N/A
Chick-fil-A Deluxe Sandwich with Colby Jack,510.0,24.0,8.0,0.0,90.0,1610.0,43.0,1.0,7.0,34,Chick-Fil-A,6.666666666666667,['Chicken'],N/A
Chick-fil-A Deluxe Sandwich with No Cheese,430.0,18.0,3.5,0.0,70.0,1470.0,43.0,1.0,7.0,29,Chick-Fil-A,6.744186046511628,['Chicken'],N/A
Chick-fil-A Deluxe Sandwich with Pepper Jack,510.0,24.0,7.0,0.0,90.0,1610.0,43.0,1.0,7.0,34,Chick-Fil-A,6.666666666666667,['Chicken'],N/A
"Chick-fil-A Nuggets, 5 ct",160.0,7.0,1.5,0.0,50.0,760.0,7.0,0.0,1.0,17,Chick-Fil-A,10.625,['Chicken'],N/A
"Chick-fil-A Nuggets, 8 ct",250.0,11.0,2.5,0.0,85.0,1210.0,11.0,0.0,1.0,27,Chick-Fil-A,10.8,['Chicken'],N/A
"Chick-fil-A Nuggets, 12 ct",380.0,17.0,3.5,0.0,125.0,1820.0,16.0,0.0,1.0,40,Chick-Fil-A,10.526315789473683,"['Chicken', 'Combo']",N/A
"Chick-fil-A Nuggets, 30 ct",950.0,43.0,9.0,0.0,315.0,4550.0,41.0,0.0,4.0,100,Chick-Fil-A,10.526315789473683,['Chicken'],N/A
"Chick-fil-A Nuggets Football-Shaped Tray, 30 ct",950.0,43.0,9.0,0.0,315.0,4550.0,41.0,0.0,4.0,100,Chick-Fil-A,10.526315789473683,"['Chicken', 'Side']",N/A
