Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
"Fiery Chicken Fries, 4 Piece",130,8,1,0,15,410,9,0,0,6
"Fiery Chicken Fries, 8 Piece",260,16,3,0,30,810,18,1,0,12
"Fiery Chicken Fries, 12 Piece",400,24,4,0,50,1220,26,1,0,18
Fiery Royal Crispy Chicken,760,49,8,0,80,1580,58,4,12,31
Fiery Royal Crispy Wrap,390,25,5,0,40,920,30,5,3,15
Honey Mustard Royal Crispy Wrap,290,14,3,0,35,790,30,4,5,15
Original Chicken Sandwich,680,39,7,0,65,1380,63,3,8,23
Royal Crispy Chicken,600,33,5,0,80,1330,54,4,10,31
Royal Crispy Wrap,310,17,3,0,40,790,28,4,2,15
20oz Bottle Coca-Cola,240,0,0,0,0,75,65,0,65,0
20oz Bottle Diet Coke,0,0,0,0,0,70,0,0,0,0
20oz Bottle Sprite,230,0,0,0,0,110,64,0,63,0
"Barq's Root Beer, Large",460,0,0,0,0,110,126,0,126,0
"Barq's Root Beer, Medium",360,0,0,0,0,85,97,0,97,0
"Barqs Root Beer, Small",240,0,0,0,0,55,65,0,65,0
"Barqs Root Beer, Value",190,0,0,0,0,45,51,0,50,0
"Coca-Cola, Large",430,0,0,0,0,105,116,0,116,0
"Coca-Cola, Medium",330,0,0,0,0,80,90,0,90,0
"Coca-Cola, Small",220,0,0,0,0,55,60,0,60,0
"Coca-Cola, Value",170,0,0,0,0,40,47,0,47,0
"Coca-Cola Zero, Large",0,0,0,0,0,110,0,0,0,0
"Coca-Cola Zero, Medium",0,0,0,0,0,85,0,0,0,0
"Coca-Cola Zero, Small",0,0,0,0,0,60,0,0,0,0
"Coca-Cola Zero, Value",0,0,0,0,0,45,0,0,0,0
"Diet Barq's Root Beer, Large",0,0,0,0,0,115,1,0,0,0
"Diet Barq's Root Beer, Medium",0,0,0,0,0,90,1,0,0,0
"Diet Barqs Root Beer, Small",0,0,0,0,0,60,0,0,0,0
"Diet Barqs Root Beer, Value",0,0,0,0,0,45,0,0,0,0
"Diet Coke, Large",0,0,0,0,0,110,1,0,0,0
"Diet Coke, Medium",0,0,0,0,0,85,0,0,0,0
"Diet Coke, Small",0,0,0,0,0,55,0,0,0,0
"Diet Coke, Value",0,0,0,0,0,45,0,0,0,0
"Dr Pepper, Large",410,0,0,0,0,110,109,0,108,0
"Dr Pepper, Medium",320,0,0,0,0,100,88,0,86,0
"Dr Pepper, Small",220,0,0,0,0,65,59,0,57,0
"Dr Pepper, Value",170,0,0,0,0,50,46,0,45,0
"Fanta Orange, Large",450,0,0,0,0,105,122,0,122,0
"Fanta Orange, Medium",350,0,0,0,0,85,94,0,94,0
"Fanta Orange, Small",230,0,0,0,0,55,63,0,63,0
"Fanta Orange, Value",180,0,0,0,0,45,49,0,49,0
Fat Free Milk,90,0,0,0,<5,125,13,0,12,9
"Frozen Coke, Large",230,0,0,0,0,95,63,0,63,0
"Frozen Coke, Medium",160,0,0,0,0,65,44,0,44,0
"Frozen Coke, Small",130,0,0,0,0,50,35,0,35,0
"Frozen Fanta Blue Raspberry, Large",230,0,0,0,0,110,62,0,62,0
"Frozen Fanta Blue Raspberry, Medium",160,0,0,0,0,75,43,0,43,0
"Frozen Fanta Blue Raspberry, Small",130,0,0,0,0,60,34,0,34,0
"Frozen Fanta Wild Cherry, Large",230,0,0,0,0,115,62,0,62,0
"Frozen Fanta Wild Cherry, Medium",160,0,0,0,0,80,43,0,43,0
"Frozen Fanta Wild Cherry, Small",130,0,0,0,0,60,34,0,34,0
"Frozen Pink Lemonade, Large",170,0,0,0,0,135,43,0,43,0
"Frozen Pink Lemonade, Medium",140,0,0,0,0,105,35,0,35,0
"Frozen Pink Lemonade, Small",100,0,0,0,0,80,26,0,26,0
"Hi-C Fruit Punch, Large",490,0,0,0,0,105,123,0,122,0
