Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category,Protein per 100 Cal
Cobb Salad with Nuggets,830.0,60.0,13.0,0.0,230.0,2220,31,5.0,8.0,42,Chick-Fil-A,Salad,5.0602409638554215
Cobb Salad with Spicy Filet,860.0,62.0,13.0,0.0,210.0,2400,37,6.0,9.0,38,Chick-Fil-A,Salad,4.4186046511627906
Cobb Salad with Spicy Grilled Filet (Cold),690.0,51.0,11.0,0.0,210.0,1740,23,6.0,8.0,34,Chick-Fil-A,Salad,4.9275362318840585
Market Salad,550.0,31.0,6.0,0.0,80.0,1010,42,5.0,26.0,28,Chick-Fil-A,Salad,5.090909090909091
Market Salad with Chick-fil-A Chick-n-Strips,750.0,43.0,8.0,0.0,85.0,1500,57,5.0,27.0,36,Chick-Fil-A,Salad,4.8
Market Salad with Chick-fil-A Filet,690.0,41.0,8.0,0.0,80.0,1750,53,0.0,27.0,31,Chick-Fil-A,Salad,4.492753623188406
Market Salad with Grilled Filet (Cold),550.0,31.0,6.0,0.0,80.0,1010,42,5.0,26.0,28,Chick-Fil-A,Salad,5.090909090909091
Market Salad with Grilled Filet (Warm),550.0,31.0,6.0,0.0,80.0,1010,42,5.0,26.0,28,Chick-Fil-A,Salad,5.090909090909091
Market Salad with Grilled Nuggets,570.0,32.0,6.0,0.0,95.0,1080,41,6.0,27.0,32,Chick-Fil-A,Salad,5.614035087719298
Market Salad with No Chicken,440.0,29.0,6.0,0.0,10.0,640,40,5.0,26.0,7,Chick-Fil-A,Chicken,1.5909090909090908
Market Salad with Nuggets,690.0,40.0,8.0,0.0,90.0,1850,51,5.0,27.0,34,Chick-Fil-A,Salad,4.9275362318840585
Market Salad with Spicy Filet,720.0,42.0,8.0,0.0,75.0,2020,56,6.0,27.0,30,Chick-Fil-A,Salad,4.166666666666666
Market Salad with Spicy Grilled Filet (Cold),540.0,31.0,6.0,0.0,70.0,1360,42,6.0,27.0,26,Chick-Fil-A,Salad,4.814814814814815
Spicy Southwest Salad,680.0,49.0,10.0,0.0,100.0,1570,27,7.0,7.0,33,Chick-Fil-A,Salad,4.852941176470589
Spicy Southwest Salad with Chick-fil-A Chick-n-Strips,880.0,60.0,12.0,0.0,115.0,1710,41,7.0,8.0,43,Chick-Fil-A,Salad,4.886363636363637
Spicy Southwest Salad with Chick-fil-A Filet,830.0,58.0,12.0,0.0,110.0,1960,37,7.0,8.0,38,Chick-Fil-A,Salad,4.578313253012048
Spicy Southwest Salad with Grilled Filet (Cold),680.0,48.0,10.0,0.0,110.0,1220,26,7.0,7.0,35,Chick-Fil-A,Salad,5.147058823529411
Spicy Southwest Salad with Grilled Filet (Warm),680.0,48.0,10.0,0.0,110.0,1220,26,7.0,7.0,35,Chick-Fil-A,Salad,5.147058823529411
Spicy Southwest Salad with Grilled Nuggets,700.0,49.0,10.0,0.0,125.0,1290,26,7.0,7.0,39,Chick-Fil-A,Salad,5.571428571428571
Spicy Southwest Salad with No Chicken,570.0,47.0,10.0,0.0,35.0,850,25,7.0,6.0,14,Chick-Fil-A,Chicken,2.456140350877193
Spicy Southwest Salad with Nuggets,830.0,58.0,12.0,0.0,120.0,2060,36,7.0,7.0,40,Chick-Fil-A,Salad,4.819277108433735
Spicy Southwest Salad with Spicy Filet,850.0,60.0,12.0,0.0,105.0,2230,41,8.0,8.0,37,Chick-Fil-A,Salad,4.352941176470588
Spicy Southwest Salad with Spicy Grilled Filet (Cold),680.0,49.0,10.0,0.0,100.0,1570,27,7.0,7.0,33,Chick-Fil-A,Salad,4.852941176470589
Buddy Fruits Apple Sauce,45.0,0.0,0.0,0.0,0.0,0,12,1.0,8.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Waffle Potato Fries, Large",600.0,35.0,5.0,0.0,0.0,340,65,7.0,1.0,7,Chick-Fil-A,Side,1.1666666666666667
"Chick-fil-A Waffle Potato Fries, Medium",420.0,24.0,4.0,0.0,0.0,240,45,5.0,1.0,5,Chick-Fil-A,Side,1.1904761904761905
"Chick-fil-A Waffle Potato Fries, Small",320.0,19.0,3.0,0.0,0.0,190,35,4.0,1.0,4,Chick-Fil-A,Side,1.25
"Chicken Noodle Soup, Bowl",280.0,6.0,2.0,0.0,55.0,2060,38,2.0,2.0,17,Chick-Fil-A,Chicken,6.071428571428571
"Chicken Noodle Soup, Cup",170.0,4.0,1.0,0.0,30.0,1220,25,1.0,1.0,10,Chick-Fil-A,Chicken,5.88235294117647
"Chicken Tortilla Soup, Bowl",580.0,16.0,5.0,0.0,90.0,1980,65,31.0,7.0,44,Chick-Fil-A,Chicken,7.586206896551724
"Chicken Tortilla Soup, Cup",340.0,11.0,3.0,0.0,50.0,1070,38,17.0,4.0,24,Chick-Fil-A,Chicken,7.0588235294117645
Kale Crunch Side,170.0,12.0,1.5,0.0,0.0,250,13,4.0,8.0,4,Chick-Fil-A,Side,2.3529411764705883
"Mac & Cheese, Large",840.0,53.0,30.0,0.5,130.0,2230,53,5.0,6.0,38,Chick-Fil-A,Other,4.523809523809524
"Mac & Cheese, Medium",450.0,29.0,16.0,0.0,70.0,1190,28,3.0,3.0,20,Chick-Fil-A,Other,4.444444444444445
"Mac & Cheese, Small",270.0,17.0,10.0,0.0,40.0,710,17,2.0,2.0,12,Chick-Fil-A,Other,4.444444444444445
"Side, Berry Parfait with Cookie Crumbs",240.0,8.0,3.5,0.0,20.0,85,31,1.0,25.0,12,Chick-Fil-A,Side,5.0
"Side, Berry Parfait with Granola",270.0,9.0,3.5,0.0,20.0,85,35,1.0,26.0,13,Chick-Fil-A,Side,4.814814814814815
"Side Fruit Cup, Large",120.0,0.0,0.0,0.0,0.0,0,28,4.0,21.0,1,Chick-Fil-A,Side,0.8333333333333334
"Side Fruit Cup, Medium",70.0,0.0,0.0,0.0,0.0,0,16,2.0,12.0,1,Chick-Fil-A,Side,1.4285714285714286
"Side Fruit Cup, Small",60.0,0.0,0.0,0.0,0.0,0,14,2.0,11.0,1,Chick-Fil-A,Side,1.6666666666666667
Side Salad,470.0,42.0,8.0,0.0,35.0,700,14,4.0,5.0,6,Chick-Fil-A,Salad,1.276595744680851
Waffle Potato Chips,220.0,13.0,3.5,0.0,0.0,250,25,2.0,0.0,3,Chick-Fil-A,Other,1.3636363636363635
"Kids Chick-fil-A Chick-n-Strips, 2 ct",200.0,9.0,2.0,0.0,50.0,580,11,0.0,1.0,19,Chick-Fil-A,Other,9.5
"Kids Chick-fil-A Nuggets, 5 ct",160.0,7.0,1.5,0.0,50.0,760,7,0.0,1.0,17,Chick-Fil-A,Other,10.625
"Kids Grilled Nuggets, 5 ct",80.0,2.0,0.0,0.0,55.0,270,1,0.0,0.0,16,Chick-Fil-A,Other,20.0
6 Pack Chocolate Chunk Cookie (per Cookie),370.0,17.0,9.0,0.0,15.0,230,49,3.0,26.0,5,Chick-Fil-A,Other,1.3513513513513513
Chick-fil-A Icedream Cone,180.0,4.0,2.5,0.0,15.0,90,32,0.0,25.0,4,Chick-Fil-A,Other,2.2222222222222223
Chick-fil-A Icedream Cup,140.0,3.5,2.5,0.0,15.0,75,24,0.0,24.0,4,Chick-Fil-A,Other,2.857142857142857
Chocolate Chunk Cookie,370.0,17.0,9.0,0.0,15.0,230,49,3.0,26.0,5,Chick-Fil-A,Other,1.3513513513513513
Chocolate Fudge Brownie,370.0,21.0,8.0,0.0,65.0,140,47,2.0,35.0,4,Chick-Fil-A,Other,1.0810810810810811
Chocolate Milkshake,590.0,22.0,14.0,1.0,85.0,360,90,1.0,87.0,12,Chick-Fil-A,Other,2.0338983050847457
Cookies & Cream Milkshake,630.0,26.0,15.0,1.0,90.0,440,90,1.0,84.0,13,Chick-Fil-A,Other,2.0634920634920633
Frosted Coffee,230.0,6.0,3.5,0.0,25.0,125,39,0.0,39.0,6,Chick-Fil-A,Other,2.608695652173913
Frosted Lemonade,320.0,6.0,3.5,0.0,25.0,120,65,0.0,63.0,6,Chick-Fil-A,Other,1.875
Frosted Lemonade with Diet Lemonade,250.0,6.0,3.5,0.0,25.0,125,46,0.0,43.0,6,Chick-Fil-A,Other,2.4
Peppermint Chip Frosted Coffee,430.0,9.0,6.0,0.0,25.0,170,83,1.0,68.0,7,Chick-Fil-A,Other,1.627906976744186
Peppermint Chip Milkshake,670.0,23.0,15.0,1.0,80.0,360,109,1.0,94.0,11,Chick-Fil-A,Other,1.6417910447761193
Strawberry Milkshake,590.0,20.0,13.0,0.5,80.0,410,93,1.0,88.0,11,Chick-Fil-A,Other,1.864406779661017
Vanilla Milkshake,580.0,23.0,15.0,1.0,90.0,390,82,1.0,80.0,13,Chick-Fil-A,Other,2.2413793103448274
1% Chocolate Milk,140.0,2.0,1.5,0.0,10.0,160,23,0.0,21.0,7,Chick-Fil-A,Other,5.0
1% Milk,90.0,2.0,1.5,0.0,10.0,105,10,0.0,10.0,7,Chick-Fil-A,Other,7.777777777777778
"Chick-fil-A Diet Lemonade, Gallon",460.0,1.5,0.0,0.0,0.0,95,126,2.0,91.0,3,Chick-Fil-A,Other,0.6521739130434783
"Chick-fil-A Diet Lemonade, Large",80.0,0.0,0.0,0.0,0.0,15,23,0.0,16.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Diet Lemonade, Medium",60.0,0.0,0.0,0.0,0.0,10,16,0.0,12.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Diet Lemonade, Small",45.0,0.0,0.0,0.0,0.0,10,12,0.0,8.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea), Gallon",790.0,0.0,0.0,0.0,0.0,0,205,0.0,205.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Lemonade, Large",370.0,0.0,0.0,0.0,0.0,0,96,0.0,88.0,1,Chick-Fil-A,Other,0.2702702702702703
"Chick-fil-A Lemonade, Medium",270.0,0.0,0.0,0.0,0.0,0,69,0.0,63.0,0,Chick-Fil-A,Other,0.0
"Chick-fil-A Lemonade, Small",190.0,0.0,0.0,0.0,0.0,0,50,0.0,46.0,0,Chick-Fil-A,Other,0.0
"Coca-Cola, Large",310.0,0.0,0.0,0.0,0.0,105,86,0.0,86.0,0,Chick-Fil-A,Other,0.0
"Coca-Cola, Medium",190.0,0.0,0.0,0.0,0.0,65,53,0.0,53.0,0,Chick-Fil-A,Other,0.0
"Coca-Cola, Small",100.0,0.0,0.0,0.0,0.0,35,27,0.0,27.0,0,Chick-Fil-A,Other,0.0
Coffee,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0,Chick-Fil-A,Other,
"Dr Pepper, Large",260.0,0.0,0.0,0.0,0.0,105,70,0.0,67.0,0,Chick-Fil-A,Other,0.0
"Dr Pepper, Medium",180.0,0.0,0.0,0.0,0.0,75,48,0.0,47.0,0,Chick-Fil-A,Other,0.0
"Dr Pepper, Small",140.0,0.0,0.0,0.0,0.0,55,36,0.0,35.0,0,Chick-Fil-A,Other,0.0
"Freshly-Brewed Iced Tea Sweetened, Large",160.0,0.0,0.0,0.0,0.0,0,40,0.0,40.0,0,Chick-Fil-A,Other,0.0
"Freshly-Brewed Iced Tea Sweetened, Medium",100.0,0.0,0.0,0.0,0.0,0,26,0.0,26.0,0,Chick-Fil-A,Other,0.0
"Freshly-Brewed Iced Tea Sweetened, Small",80.0,0.0,0.0,0.0,0.0,0,20,0.0,20.0,0,Chick-Fil-A,Other,0.0
Honest Kids Apple Juice,35.0,0.0,0.0,0.0,0.0,15,9,0.0,8.0,0,Chick-Fil-A,Other,0.0
Iced Coffee,130.0,2.5,1.5,0.0,10.0,70,23,0.0,23.0,4,Chick-Fil-A,Other,3.076923076923077
Peppermint Coffee,90.0,0.0,0.0,0.0,0.0,35,23,0.0,13.0,0,Chick-Fil-A,Other,0.0
Peppermint Iced Coffee,200.0,1.5,1.0,0.0,,70,44,0.0,34.0,3,Chick-Fil-A,Other,1.5
"Red Flash, Large",320.0,0.0,0.0,0.0,0.0,60,84,0.0,84.0,0,Chick-Fil-A,Other,0.0
"Red Flash, Medium",200.0,0.0,0.0,0.0,0.0,40,53,0.0,53.0,0,Chick-Fil-A,Other,0.0
"Red Flash, Small",140.0,0.0,0.0,0.0,0.0,25,37,0.0,37.0,0,Chick-Fil-A,Other,0.0
Simply Orange,160.0,0.0,0.0,0.0,0.0,10,34,0.0,30.0,2,Chick-Fil-A,Other,1.25
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Large",140.0,0.0,0.0,0.0,0.0,5,38,0.0,35.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Medium",100.0,0.0,0.0,0.0,0.0,0,25,0.0,24.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Small",80.0,0.0,0.0,0.0,0.0,0,20,0.0,19.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Large",280.0,0.0,0.0,0.0,0.0,0,72,0.0,68.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Medium",180.0,0.0,0.0,0.0,0.0,0,45,0.0,43.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Small",120.0,0.0,0.0,0.0,0.0,0,33,0.0,32.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Gallon",240.0,1.0,0.0,0.0,0.0,50,65,1.0,47.0,1,Chick-Fil-A,Other,0.4166666666666667
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Large",35.0,0.0,0.0,0.0,0.0,5,9,0.0,7.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Medium",20.0,0.0,0.0,0.0,0.0,0,6,0.0,4.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Small",15.0,0.0,0.0,0.0,0.0,0,4,0.0,3.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Large",140.0,0.0,0.0,0.0,0.0,0,39,0.0,36.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Medium",90.0,0.0,0.0,0.0,0.0,0,25,0.0,23.0,0,Chick-Fil-A,Other,0.0
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Small",60.0,0.0,0.0,0.0,0.0,0,17,0.0,16.0,0,Chick-Fil-A,Other,0.0
